a,b,n,x_dist,rep,lineup_id
1,1,50,normal,3,278
-1,4,50,normal,3,142
0,4,50,normal,3,300
1,4,50,normal,3,404
-1,16,50,normal,3,216
0,16,50,normal,3,556
1,16,50,normal,3,332
-1,64,50,normal,3,335
0,64,50,normal,3,324
1,64,50,normal,3,164
0,0,100,normal,3,479
-1,0.25,100,normal,3,325
0,0.25,100,normal,3,364
1,0.25,100,normal,3,377
-1,1,100,normal,3,533
0,1,100,normal,3,135
1,1,100,normal,3,68
-1,4,100,normal,3,165
0,4,100,normal,3,118
1,4,100,normal,3,55
-1,16,100,normal,3,382
0,16,100,normal,3,214
1,16,100,normal,3,241
-1,64,100,normal,3,50
0,64,100,normal,3,403
1,64,100,normal,3,313
0,0,300,normal,3,107
-1,0.25,300,normal,3,393
0,0.25,300,normal,3,220
1,0.25,300,normal,3,35
-1,1,300,normal,3,344
0,1,300,normal,3,248
1,1,300,normal,3,21
-1,4,300,normal,3,81
0,4,300,normal,3,100
1,4,300,normal,3,102
-1,16,300,normal,3,77
0,16,300,normal,3,151
1,16,300,normal,3,13
-1,64,300,normal,3,289
0,64,300,normal,3,223
1,64,300,normal,3,401
0,0,50,lognormal,3,483
-1,0.25,50,lognormal,3,166
0,0.25,50,lognormal,3,113
1,0.25,50,lognormal,3,167
-1,1,50,lognormal,3,321
0,1,50,lognormal,3,163
1,1,50,lognormal,3,88
-1,4,50,lognormal,3,28
0,4,50,lognormal,3,341
1,4,50,lognormal,3,290
-1,16,50,lognormal,3,131
0,16,50,lognormal,3,392
1,16,50,lognormal,3,536
-1,64,50,lognormal,3,420
0,64,50,lognormal,3,443
1,64,50,lognormal,3,388
0,0,100,lognormal,3,123
-1,0.25,100,lognormal,3,320
0,0.25,100,lognormal,3,297
1,0.25,100,lognormal,3,468
-1,1,100,lognormal,3,306
0,1,100,lognormal,3,227
1,1,100,lognormal,3,143
-1,4,100,lognormal,3,521
0,4,100,lognormal,3,498
1,4,100,lognormal,3,148
-1,16,100,lognormal,3,426
0,16,100,lognormal,3,334
1,16,100,lognormal,3,173
-1,64,100,lognormal,3,431
0,64,100,lognormal,3,551
1,64,100,lognormal,3,104
0,0,300,lognormal,3,262
-1,0.25,300,lognormal,3,87
0,0.25,300,lognormal,3,407
1,0.25,300,lognormal,3,162
-1,1,300,lognormal,3,427
0,1,300,lognormal,3,182
1,1,300,lognormal,3,476
-1,4,300,lognormal,3,542
0,4,300,lognormal,3,188
1,4,300,lognormal,3,12
-1,16,300,lognormal,3,149
0,16,300,lognormal,3,208
1,16,300,lognormal,3,410
-1,64,300,lognormal,3,212
0,64,300,lognormal,3,338
1,64,300,lognormal,3,80
0,0,50,even_discrete,3,119
-1,0.25,50,even_discrete,3,108
0,0.25,50,even_discrete,3,29
1,0.25,50,even_discrete,3,428
-1,1,50,even_discrete,3,185
0,1,50,even_discrete,3,465
1,1,50,even_discrete,3,357
-1,4,50,even_discrete,3,161
0,4,50,even_discrete,3,3
1,4,50,even_discrete,3,432
-1,16,50,even_discrete,3,354
0,16,50,even_discrete,3,202
1,16,50,even_discrete,3,40
-1,64,50,even_discrete,3,547
0,64,50,even_discrete,3,43
1,64,50,even_discrete,3,97
0,0,100,even_discrete,3,114
-1,0.25,100,even_discrete,3,316
0,0.25,100,even_discrete,3,385
1,0.25,100,even_discrete,3,261
-1,1,100,even_discrete,3,49
0,1,100,even_discrete,3,406
1,1,100,even_discrete,3,507
-1,4,100,even_discrete,3,473
0,4,100,even_discrete,3,133
1,4,100,even_discrete,3,280
-1,16,100,even_discrete,3,459
0,16,100,even_discrete,3,277
1,16,100,even_discrete,3,353
-1,64,100,even_discrete,3,274
0,64,100,even_discrete,3,184
1,64,100,even_discrete,3,516
0,0,300,even_discrete,3,571
-1,0.25,300,even_discrete,3,1
0,0.25,300,even_discrete,3,19
1,0.25,300,even_discrete,3,304
-1,1,300,even_discrete,3,497
0,1,300,even_discrete,3,244
1,1,300,even_discrete,3,271
-1,4,300,even_discrete,3,446
0,4,300,even_discrete,3,205
1,4,300,even_discrete,3,46
-1,16,300,even_discrete,3,310
0,16,300,even_discrete,3,71
1,16,300,even_discrete,3,70
-1,64,300,even_discrete,3,492
0,64,300,even_discrete,3,460
1,64,300,even_discrete,3,266
0,128,300,uniform,1,577
1,128,300,uniform,1,578
0,256,300,uniform,1,579
1,256,300,uniform,1,580
0,128,300,uniform,2,581
1,128,300,uniform,2,582
0,256,300,uniform,2,583
1,256,300,uniform,2,584
0,128,300,uniform,3,585
1,128,300,uniform,3,586
0,256,300,uniform,3,587
1,256,300,uniform,3,588
