subject,lineup_id,order,a,b,n,x_dist,rep
83,492,20,-1,64,300,even_discrete,3
84,84,9,-1,0.25,50,uniform,3
85,474,2,0,0,50,normal,3
86,125,8,1,0.25,100,lognormal,2
87,280,20,1,4,100,even_discrete,3
88,452,4,0,4,300,uniform,2
89,311,18,0,16,100,uniform,3
90,5,8,-1,1,50,uniform,2
91,515,4,1,64,50,normal,1
92,174,10,1,16,300,lognormal,1
93,21,6,1,1,300,normal,3
94,87,9,-1,0.25,300,lognormal,3
95,272,6,1,0.25,100,lognormal,1
96,190,1,1,0.25,300,lognormal,1
97,306,4,-1,1,100,lognormal,3
98,479,17,0,0,100,normal,3
99,313,10,1,64,100,normal,3
100,544,4,0,1,50,uniform,1
101,27,15,1,1,300,even_discrete,1
102,445,9,1,64,50,uniform,3
103,385,4,0,0.25,100,even_discrete,3
104,57,2,0,16,100,even_discrete,1
105,410,16,1,16,300,lognormal,3
106,235,14,1,64,100,normal,2
107,82,12,-1,0.25,300,normal,1
108,339,4,-1,16,50,uniform,1
109,493,15,1,1,100,lognormal,2
110,303,10,-1,1,300,even_discrete,1
111,203,2,1,4,100,normal,2
112,118,2,0,4,100,normal,3
113,167,7,1,0.25,50,lognormal,3
114,21,4,1,1,300,normal,3
115,1,18,-1,0.25,300,even_discrete,3
116,170,2,0,0,300,normal,2
117,54,14,1,1,300,uniform,3
118,166,9,-1,0.25,50,lognormal,3
119,309,2,-1,16,50,even_discrete,1
120,59,5,0,1,300,even_discrete,1
121,355,13,0,16,50,normal,2
122,349,6,-1,4,100,even_discrete,1
123,540,2,1,64,100,uniform,2
124,97,5,1,64,50,even_discrete,3
125,345,5,0,1,100,uniform,2
126,129,11,-1,4,300,uniform,1
127,158,10,-1,4,50,even_discrete,2
128,435,12,0,64,100,even_discrete,1
129,327,20,-1,4,100,normal,1
130,449,1,0,64,300,uniform,1
131,527,9,0,4,100,uniform,3
132,377,7,1,0.25,100,normal,3
133,129,8,-1,4,300,uniform,1
134,113,1,0,0.25,50,lognormal,3
135,258,6,1,0.25,300,even_discrete,1
136,186,1,-1,0.25,50,even_discrete,1
137,528,18,0,16,50,even_discrete,2
138,78,7,1,1,50,lognormal,1
139,155,14,-1,64,100,uniform,2
140,557,20,1,0.25,300,uniform,1
141,345,14,0,1,100,uniform,2
142,458,1,-1,1,100,even_discrete,2
143,409,7,0,64,100,normal,1
144,332,7,1,16,50,normal,3
145,521,11,-1,4,100,lognormal,3
146,250,12,-1,16,300,lognormal,1
147,227,18,0,1,100,lognormal,3
148,4,9,-1,4,50,uniform,3
149,255,9,-1,64,300,uniform,2
150,186,11,-1,0.25,50,even_discrete,1
151,517,6,-1,16,300,normal,1
152,497,19,-1,1,300,even_discrete,3
153,19,15,0,0.25,300,even_discrete,3
154,425,18,-1,16,100,uniform,1
155,445,5,1,64,50,uniform,3
156,178,18,1,4,300,uniform,1
157,442,14,-1,16,100,uniform,3
158,475,11,1,4,300,lognormal,2
159,274,13,-1,64,100,even_discrete,3
160,359,11,0,0,300,even_discrete,1
1,307,2,1,64,50,lognormal,2
2,553,2,0,16,300,uniform,2
3,48,4,-1,0.25,100,uniform,2
4,428,17,1,0.25,50,even_discrete,3
