page,response_time,set,num,selection,num_selection,reason,confidence,prolific_id,age_group,education,pronoun,previous_experience,lineup_id,type,formula,a,b,x_dist,e_dist,e_sigma,name,k,n,effect_size,answer,detect,conventional_p_value,p_value,weigthed_detect,prop_detect
24,33502.19999998808,2,20,8_7,2,Cluster(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,118,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,4,normal,normal,1,heter_118,20,100,15.636725250872693,13,FALSE,0.0030723709944668613,1,0,0
5,104315.5,3,1,0,0,NA,NA,602cf366166df76360257563,18-24,High School or below,He,Yes,573,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,1,uniform,normal,1,heter_573,20,50,3.0992197799714916,9,FALSE,0.5706620621332024,1,0,0
6,73394.69999998808,3,2,1_5_10_6_12_20,6,Outlier(s),Slightly,602cf366166df76360257563,18-24,High School or below,He,Yes,2,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,1,normal,normal,1,heter_2,20,300,20.20210278936605,5,TRUE,0.009438422011120946,0.32855999999999996,0.16666666666666666,0.08333333333333333
7,42916.89999997616,3,3,4_5_10_6_1_14_11,7,Outlier(s),Slightly,602cf366166df76360257563,18-24,High School or below,He,Yes,422,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,4,normal,normal,1,heter_422,20,50,19.926404250139832,3,FALSE,0.0038276105149018477,0.37649999999999995,0,0.5
8,15260,3,4,1_11_16_19,4,Outlier(s),Slightly,602cf366166df76360257563,18-24,High School or below,He,Yes,48,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,0.25,uniform,normal,1,heter_48,20,100,2.8633783816085057,4,FALSE,0.4102741358373812,1,0,0
9,21770.5,3,5,0,0,NA,NA,602cf366166df76360257563,18-24,High School or below,He,Yes,373,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,1,even_discrete,normal,1,heter_373,20,100,15.845195581233327,3,FALSE,0.037983576126379086,1,0,0
10,31873.900000035763,3,6,5,1,Cluster(s),Slightly,602cf366166df76360257563,18-24,High School or below,He,Yes,235,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,64,normal,normal,1,heter_235,20,100,155.37189103536343,2,FALSE,4.631793969483678e-6,1,0,0
11,14018.300000011921,3,7,7,1,Cluster(s),Moderately,602cf366166df76360257563,18-24,High School or below,He,Yes,580,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,256,uniform,normal,1,heter_580,20,300,631.4151296963204,7,TRUE,4.71232216387025e-10,0,1,1
12,25446.69999998808,3,8,0,0,NA,NA,602cf366166df76360257563,18-24,High School or below,He,Yes,427,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,1,lognormal,normal,1,heter_427,20,300,3.3774274951898917,4,FALSE,0.1688691237482897,1,0,0
13,11815.199999988079,3,9,11,1,Shape,Slightly,602cf366166df76360257563,18-24,High School or below,He,Yes,500,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,64,uniform,normal,1,heter_500,20,300,425.7029287196587,11,TRUE,7.920481226924792e-13,2.4000000000001798e-4,1,1
14,24607.69999998808,3,10,0,0,NA,NA,602cf366166df76360257563,18-24,High School or below,He,Yes,162,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,0.25,lognormal,normal,1,heter_162,20,300,12.80093969297856,12,FALSE,0.2384699403342547,1,0,0
