subject,lineup_id,order,shape,n,x_dist,e_sigma,rep
79,285,5,2,300,uniform,0.5,3
80,324,15,3,50,normal,1,3
81,545,16,2,300,normal,0.5,3
82,575,5,4,100,even_discrete,0.5,1
83,204,20,3,100,normal,4,1
84,271,9,3,50,even_discrete,4,3
85,533,2,1,300,normal,1,3
86,564,8,4,50,normal,0.5,1
87,180,20,1,300,normal,0.5,3
88,78,4,3,100,uniform,2,1
89,137,18,2,50,lognormal,0.5,1
90,418,8,1,300,normal,0.5,1
91,428,4,4,50,uniform,4,3
92,162,10,4,300,lognormal,2,3
93,13,6,1,300,even_discrete,1,3
94,317,9,2,50,even_discrete,0.5,2
95,108,6,2,50,uniform,4,3
96,203,1,2,50,lognormal,1,2
97,6,4,1,100,uniform,1,1
98,56,17,1,50,lognormal,4,2
99,103,10,1,50,even_discrete,1,2
100,292,4,2,300,normal,4,2
101,299,15,2,100,lognormal,0.5,3
102,212,9,2,300,even_discrete,2,3
103,219,4,4,300,lognormal,1,2
104,379,2,1,300,uniform,0.5,2
105,336,16,1,50,lognormal,0.5,2
106,456,14,1,100,even_discrete,1,1
107,77,12,3,100,even_discrete,1,3
108,484,4,1,50,normal,0.5,1
109,275,15,4,100,normal,0.5,2
110,458,10,1,300,normal,4,2
111,464,2,2,100,lognormal,1,1
112,454,2,2,100,normal,0.5,3
113,418,7,1,300,normal,0.5,1
114,103,4,1,50,even_discrete,1,2
115,481,18,1,50,normal,4,1
116,337,2,2,50,normal,2,2
117,100,14,1,100,even_discrete,1,3
118,567,9,4,50,uniform,1,3
119,54,2,3,50,even_discrete,0.5,3
120,387,5,2,100,uniform,0.5,3
121,548,13,1,50,normal,4,2
122,35,6,4,300,lognormal,1,3
123,272,2,4,100,normal,2,1
124,357,5,3,100,uniform,4,3
125,122,5,4,50,normal,4,1
126,153,11,4,100,lognormal,1,1
127,426,10,3,50,lognormal,2,3
128,527,12,1,50,lognormal,0.5,3
129,536,20,1,50,normal,2,3
130,184,1,3,100,lognormal,4,3
131,551,9,3,100,lognormal,2,3
132,309,7,3,300,uniform,4,1
133,92,8,2,100,even_discrete,1,2
134,543,1,4,300,normal,0.5,2
135,429,6,3,300,normal,4,1
136,242,1,4,100,uniform,2,1
137,86,18,3,50,uniform,0.5,2
138,187,7,2,50,lognormal,2,2
139,111,14,1,100,lognormal,1,1
140,223,20,3,300,even_discrete,1,3
141,429,14,3,300,normal,4,1
142,29,1,3,50,uniform,4,3
143,301,7,3,100,uniform,4,1
144,231,7,1,300,uniform,4,2
145,5,11,1,100,uniform,0.5,2
146,545,12,2,300,normal,0.5,3
147,420,18,2,50,normal,2,3
148,308,9,4,300,lognormal,1,1
149,522,9,2,300,even_discrete,1,2
150,247,11,1,50,uniform,4,1
151,284,6,2,100,even_discrete,1,1
152,517,19,3,100,even_discrete,1,1
153,322,15,3,50,uniform,0.5,3
154,315,18,1,50,normal,1,1
155,419,5,4,100,normal,1,1
156,412,18,3,50,uniform,2,1
157,304,14,4,300,lognormal,4,3
158,18,11,4,300,normal,2,2
159,510,13,2,50,normal,1,2
160,417,11,2,50,lognormal,2,1
1,434,2,3,100,lognormal,0.5,3
2,158,2,4,100,uniform,4,2
3,225,4,2,300,lognormal,4,1
4,450,17,3,50,uniform,4,2
5,364,4,3,100,normal,1,3
6,402,19,2,50,even_discrete,0.5,1
7,250,20,3,100,even_discrete,2,1
8,26,11,1,50,even_discrete,2,1
9,272,11,4,100,normal,2,1
10,269,15,4,50,uniform,1,1
11,363,15,4,300,lognormal,4,2
12,190,10,4,300,lognormal,2,1
13,305,6,3,300,even_discrete,0.5,3
14,466,18,1,50,normal,2,1
15,208,1,4,100,even_discrete,2,3
16,470,16,3,300,normal,0.5,2
17,330,14,1,100,uniform,0.5,3
18,90,12,3,100,normal,1,1
19,13,18,1,300,even_discrete,1,3
20,450,7,3,50,uniform,4,2
21,241,12,1,100,lognormal,1,3
22,136,1,3,100,normal,4,2
23,532,15,1,300,even_discrete,2,2
24,172,10,1,100,normal,0.5,3
25,471,17,4,50,even_discrete,0.5,3
26,492,3,2,300,even_discrete,4,3
27,439,6,3,50,normal,1,2
28,139,7,2,300,normal,1,1
29,218,5,3,100,lognormal,0.5,1
30,159,19,1,300,uniform,4,1
31,40,12,1,50,normal,4,3
32,40,20,1,50,normal,4,3
33,271,8,3,50,even_discrete,4,3
34,230,20,1,100,uniform,4,1
35,244,5,2,50,even_discrete,4,3
36,447,19,1,100,uniform,0.5,1
37,455,5,1,50,uniform,1,1
38,62,4,4,50,even_discrete,0.5,2
39,390,12,1,50,uniform,1,2
40,364,18,3,100,normal,1,3
41,112,6,4,50,even_discrete,1,2
42,489,11,1,100,even_discrete,0.5,3
43,178,10,2,100,even_discrete,0.5,1
44,284,6,2,100,even_discrete,1,1
45,445,19,4,50,normal,0.5,3
46,548,11,1,50,normal,4,2
47,309,14,3,300,uniform,4,1
48,63,3,4,300,even_discrete,0.5,1
49,400,13,3,50,even_discrete,0.5,1
50,210,19,1,100,uniform,2,2
51,474,12,1,50,uniform,1,3
52,527,12,1,50,lognormal,0.5,3
53,444,2,2,100,lognormal,2,1
54,493,15,3,300,normal,2,2
55,235,16,4,100,lognormal,1,2
56,325,11,2,100,normal,1,3
57,462,1,3,100,lognormal,2,2
58,380,19,1,300,normal,1,2
59,222,14,4,50,even_discrete,1,1
60,243,8,2,50,normal,4,2
61,475,10,2,100,even_discrete,2,2
62,416,17,4,50,lognormal,4,2
63,146,20,2,100,lognormal,2,2
64,495,17,2,50,uniform,2,1
65,497,2,1,50,even_discrete,4,3
66,323,8,2,50,normal,0.5,1
67,143,5,3,300,normal,2,3
68,551,9,3,100,lognormal,2,3
69,283,11,4,50,uniform,2,1
70,378,5,3,100,even_discrete,0.5,3
71,294,11,1,50,normal,2,2
72,427,5,1,50,even_discrete,2,3
73,529,5,4,300,uniform,1,1
74,342,20,4,100,uniform,2,2
75,298,12,1,300,normal,1,1
76,314,9,1,300,normal,4,1
77,129,18,4,50,even_discrete,0.5,1
78,387,9,2,100,uniform,0.5,3
79,364,8,3,100,normal,1,3
80,276,1,1,300,uniform,2,2
