page,response_time,set,num,selection,num_selection,reason,confidence,prolific_id,age_group,education,pronoun,previous_experience,lineup_id,type,formula,a,b,c,x_dist,z_discrete,e_dist,e_sigma,x_mu,x_n,x_sigma,z_discrete_dist,z_n,e_df,name,k,n,effect_size,answer,detect,conventional_p_value,ori_difficulty,exp,exp_lineup_id
16,6914.4000000003725,2,12,2,1,Shape,Extremely,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,579,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",2.4365884750150144,2.816419892013073,1.9271605415269732,uniform,FALSE,normal,0.25,0,NA,0.6,discrete_uniform,10,NA,high_extremely_easy_3,20,100,1335.3474749374132,2,TRUE,3.507632911969642e-119,extremely_easy,1,1_579
17,5733.9000000003725,2,13,5,1,Shape,Very,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,30,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.6200420744717121,-1.1768530807457864,1.7508144131861627,uniform,TRUE,normal,0.25,0,NA,0.6,discrete_uniform,4,NA,high_easy_30,20,50,310.3783680132039,5,TRUE,1.329803142567115e-35,easy,1,1_30
18,394250,2,14,6_19_20_14,4,Outlier(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,38,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.4929964179173112,0.21891989652067423,1.4942812654189765,normal,FALSE,normal,0.5,0,NA,0.3,discrete_uniform,10,NA,high_medium_4,20,100,1.046948557153692,3,FALSE,2.163141001415786e-8,medium,1,1_38
19,188373,2,15,6_16_20_5_12_13_3,7,Outlier(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,131,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.3405177854001522,1.1463912315666676,1.8038530624471605,neglognormal,TRUE,normal,2,0,NA,0.6,discrete_uniform,10,NA,high_hard_37,20,300,0.8147772755940111,1,FALSE,8.744317660860019e-15,hard,1,1_131
20,255721.09999999963,2,16,5_9_11_14_16_17,6,Outlier(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,458,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,0.269297294318676,NA,neglognormal,FALSE,NA,NA,0,13,0.6,NA,NA,NA,heter_hard_76,20,100,2.69297294318676,1,FALSE,0.17049538353170113,hard,1,1_458
21,27538.699999999255,2,17,1_11_5_4,4,Cluster(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,134,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",1.0909985764883459,-1.760064713191241,0.9361355602741241,normal,TRUE,normal,1,0,NA,0.3,discrete_uniform,7,NA,high_hard_40,20,50,0.19715328091206505,14,FALSE,0.28830139414482586,hard,1,1_134
22,13665.299999998882,2,18,5_3_4_14_15_11,6,Cluster(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,405,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,1.3917578905820847,NA,uniform,FALSE,NA,NA,0,13,0.6,NA,NA,NA,heter_hard_23,20,100,13.917578905820847,20,FALSE,2.470440277328945e-4,hard,1,1_405
23,184698,2,19,5_15_20_6,4,Cluster(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,323,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,12.519696310162544,NA,neglognormal,FALSE,NA,NA,0,16,0.6,NA,NA,NA,heter_medium_1,20,50,88.52762159312132,18,FALSE,0.1872297462983628,medium,1,1_323
24,36525.40000000037,2,20,5_11_7_8_9,5,Cluster(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,282,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.19896800117567182,0.009951709304004908,1.7152107427828014,uniform,FALSE,normal,2,0,NA,0.6,discrete_uniform,6,NA,high_hard_188,20,50,0.016602102142379015,10,FALSE,0.5207569243388259,hard,1,1_282
5,140951,3,1,10_3_14,3,Outlier(s),Slightly,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,469,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,0.30087000131607056,NA,normal,FALSE,NA,NA,0,12,0.3,NA,NA,NA,heter_hard_87,20,100,3.0087000131607056,6,FALSE,0.20231882265994208,hard,1,1_469
