type,formula,a,b,c,x_dist,z_discrete,e_dist,e_sigma,x_mu,x_n,x_sigma,z_discrete_dist,z_n,e_df,name,k,n,effect_size,answer,conventional_p_value,ori_difficulty,exp,exp_lineup_id,log_effect_size
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,14.54423925280571,NA,uniform,FALSE,NA,NA,0,14,0.6,NA,NA,NA,heter_medium_4,20,50,102.84330202858483,10,0.0199268726254844,medium,1,1_326,4.633206490289312
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-2.140613120980561,-1.6129488330334425,1.6199950324371457,normal,TRUE,normal,2,0,NA,0.3,discrete_uniform,4,NA,high_hard_16,20,300,0.006139788206676493,13,0.0011412446572183373,hard,1,1_110,-5.092965031444648
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.2739395359531045,-1.730496590025723,0.41076344856992364,lognormal,TRUE,normal,1,0,NA,0.6,discrete_uniform,5,NA,high_hard_190,20,300,1.032684220249101,13,1.3782538502269687e-14,hard,1,1_284,0.03216145148658529
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.7410783134400845,1.066906628664583,1.6747925700619817,normal,FALSE,normal,2,0,NA,0.3,discrete_uniform,3,NA,high_hard_23,20,100,1.3998241229350712,11,2.566043597845507e-4,hard,1,1_117,0.3363466022545972
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,1.8289103507995605,NA,lognormal,FALSE,NA,NA,0,19,0.6,NA,NA,NA,heter_hard_35,20,50,12.932349112326367,9,0.06432467759556881,hard,1,1_417,2.559731855503005
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.2975577837787569,-1.5417364994063973,1.8280963627621531,normal,FALSE,normal,2,0,NA,0.3,discrete_uniform,10,NA,high_hard_157,20,300,3.858294894742639,8,1.0960250299795775e-45,hard,1,1_251,1.3502253487688531
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,0.5863412767648697,NA,neglognormal,FALSE,NA,NA,0,11,0.6,NA,NA,NA,heter_hard_154,20,50,4.146058928900176,15,0.8774648124307554,hard,1,1_536,1.4221582273472562
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,20.316588282585144,NA,lognormal,FALSE,NA,NA,0,19,0.6,NA,NA,NA,heter_medium_11,20,50,143.6599734519111,3,0.1471704879956335,medium,1,1_333,4.967449211848582
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,1.3069550022482872,NA,uniform,FALSE,NA,NA,0,11,0.6,NA,NA,NA,heter_hard_174,20,50,9.241567447954434,17,0.03571112978535657,hard,1,1_556,2.2237115084913315
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,1.0949868708848953,NA,normal,FALSE,NA,NA,0,17,0.3,NA,NA,NA,heter_hard_16,20,50,7.7427264171294805,8,0.05544097977673055,hard,1,1_398,2.0467538758511994
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,1.1731885448098183,NA,discrete_uniform,FALSE,NA,NA,0,14,0.6,NA,NA,NA,heter_hard_20,20,50,8.295695756454004,8,0.015974906701673158,hard,1,1_402,2.115736796731834
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.8560195527970791,0.4361641248688102,1.1992223118431866,lognormal,TRUE,normal,2,0,NA,0.6,discrete_uniform,4,NA,high_hard_170,20,300,0.03959352463183887,17,0.08444475966414342,hard,1,1_264,-3.2290896934904647
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.4019798394292593,0.7314198156818748,0.9040797702036798,lognormal,FALSE,normal,0.25,0,NA,0.6,discrete_uniform,5,NA,high_easy_11,20,300,139547.2622788181,14,0,easy,1,1_11,11.846158620562198
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.15645725559443235,2.168072576634586,1.4474740005098283,uniform,TRUE,normal,2,0,NA,0.6,discrete_uniform,9,NA,high_hard_45,20,300,0.231983692244756,12,1.6941096755788035e-4,hard,1,1_139,-1.4610882018348943
