subject,lineup_id,shape,n,x_dist,e_sigma,rep
152,198,4,50,uniform,4,1
153,325,2,100,normal,1,3
154,305,3,300,even_discrete,0.5,3
155,262,1,300,lognormal,2,3
156,177,2,100,even_discrete,4,1
157,296,1,50,normal,0.5,2
158,497,1,50,even_discrete,4,3
159,424,3,300,even_discrete,4,1
160,562,1,100,uniform,1,3
1,304,4,300,lognormal,4,3
2,286,3,50,uniform,1,1
3,317,2,50,even_discrete,0.5,2
4,341,1,300,uniform,2,3
5,558,1,300,even_discrete,1,1
6,275,4,100,normal,0.5,2
7,213,2,300,normal,2,2
8,310,3,100,even_discrete,4,3
9,315,1,50,normal,1,1
10,482,4,100,lognormal,2,2
11,403,3,100,lognormal,1,3
12,476,3,50,even_discrete,2,3
13,457,1,100,lognormal,0.5,3
14,208,4,100,even_discrete,2,3
15,262,1,300,lognormal,2,3
16,301,3,100,uniform,4,1
17,24,3,300,uniform,1,2
18,271,3,50,even_discrete,4,3
19,31,3,100,even_discrete,2,2
20,228,4,300,even_discrete,4,2
21,288,3,50,lognormal,0.5,2
22,1,2,300,lognormal,4,3
23,46,2,100,even_discrete,4,3
24,307,4,50,normal,2,2
25,267,4,300,normal,4,2
26,563,4,100,normal,4,2
27,531,1,100,lognormal,1,2
28,155,2,100,lognormal,0.5,2
29,219,4,300,lognormal,1,2
30,554,1,50,even_discrete,2,2
31,161,4,100,uniform,4,3
32,456,1,100,even_discrete,1,1
33,102,2,100,even_discrete,1,3
34,512,4,50,uniform,0.5,3
35,179,2,300,lognormal,0.5,1
36,332,1,50,normal,1,3
37,265,1,100,normal,0.5,2
38,561,1,100,lognormal,0.5,1
39,534,3,300,lognormal,1,2
40,445,4,50,normal,0.5,3
41,475,2,100,even_discrete,2,2
42,288,3,50,lognormal,0.5,2
43,213,2,300,normal,2,2
44,380,1,300,normal,1,2
45,155,2,100,lognormal,0.5,2
46,457,1,100,lognormal,0.5,3
47,474,1,50,uniform,1,3
48,260,4,50,normal,1,2
49,374,4,300,even_discrete,1,2
50,365,4,300,uniform,0.5,2
51,534,3,300,lognormal,1,2
52,553,4,100,even_discrete,0.5,2
53,565,2,50,uniform,1,3
54,188,1,100,even_discrete,2,3
55,232,4,50,uniform,0.5,2
56,507,3,300,normal,4,3
57,276,1,300,uniform,2,2
58,89,2,100,normal,4,2
59,104,4,100,lognormal,2,3
60,12,2,100,even_discrete,2,3
61,74,1,50,even_discrete,0.5,2
62,79,1,100,even_discrete,4,1
63,229,2,50,normal,0.5,3
64,522,2,300,even_discrete,1,2
65,209,1,300,lognormal,1,1
66,293,3,300,normal,1,1
67,7,4,50,normal,4,2
68,15,2,300,uniform,2,2
69,514,3,100,normal,2,1
70,446,4,50,even_discrete,4,3
71,545,2,300,normal,0.5,3
72,230,1,100,uniform,4,1
73,333,4,50,lognormal,0.5,1
74,337,2,50,normal,2,2
75,95,4,50,lognormal,1,2
76,518,3,50,uniform,4,1
77,189,3,300,lognormal,0.5,3
78,128,1,300,lognormal,0.5,3
79,308,4,300,lognormal,1,1
80,362,4,50,lognormal,2,2
81,514,3,100,normal,2,1
82,297,3,100,normal,2,3
83,544,2,100,uniform,0.5,1
84,407,3,300,lognormal,2,3
85,258,4,300,lognormal,4,1
86,412,3,50,uniform,2,1
87,131,3,300,uniform,2,3
88,202,4,300,uniform,4,3
89,65,3,100,lognormal,1,2
90,304,4,300,lognormal,4,3
91,153,4,100,lognormal,1,1
92,292,2,300,normal,4,2
93,537,4,300,uniform,0.5,3
94,490,4,100,even_discrete,2,1
95,278,3,100,uniform,1,3
96,388,4,50,normal,2,3
97,139,2,300,normal,1,1
98,171,4,50,even_discrete,2,2
99,172,1,100,normal,0.5,3
100,491,2,50,uniform,1,2
101,144,1,100,uniform,1,2
102,202,4,300,uniform,4,3
103,110,2,300,uniform,0.5,1
104,479,1,100,normal,1,3
105,337,2,50,normal,2,2
106,271,3,50,even_discrete,4,3
107,60,1,100,lognormal,0.5,2
108,305,3,300,even_discrete,0.5,3
109,39,3,100,uniform,2,2
110,436,1,50,lognormal,2,1
111,529,4,300,uniform,1,1
112,466,1,50,normal,2,1
113,460,3,300,even_discrete,4,3
114,108,2,50,uniform,4,3
115,451,2,100,normal,2,1
116,342,4,100,uniform,2,2
117,361,2,100,uniform,4,2
118,351,3,50,lognormal,4,1
119,387,2,100,uniform,0.5,3
120,442,3,50,lognormal,0.5,3
121,467,2,100,even_discrete,4,2
122,67,3,300,normal,0.5,3
123,135,2,300,normal,1,3
124,423,3,300,even_discrete,2,2
125,34,3,50,lognormal,1,2
126,348,2,50,normal,1,1
127,197,4,100,lognormal,4,1
128,44,1,300,even_discrete,4,1
129,208,4,100,even_discrete,2,3
130,181,4,50,lognormal,1,1
131,325,2,100,normal,1,3
132,408,2,300,lognormal,0.5,3
133,367,2,50,normal,2,1
134,359,1,300,lognormal,4,1
135,392,4,300,uniform,2,3
136,485,2,100,even_discrete,0.5,3
137,57,4,50,lognormal,4,1
138,572,2,100,normal,4,1
139,190,4,300,lognormal,2,1
140,270,3,50,uniform,0.5,1
141,445,4,50,normal,0.5,3
142,171,4,50,even_discrete,2,2
143,47,4,100,lognormal,2,1
144,89,2,100,normal,4,2
145,71,4,100,even_discrete,4,3
146,94,3,300,even_discrete,4,2
147,29,3,50,uniform,4,3
148,56,1,50,lognormal,4,2
149,224,3,300,lognormal,2,1
150,215,2,100,lognormal,4,1
151,28,4,100,uniform,2,3
152,328,3,300,lognormal,4,1
153,8,2,50,lognormal,4,2
154,457,1,100,lognormal,0.5,3
155,252,2,100,lognormal,0.5,1
156,328,3,300,lognormal,4,1
157,385,3,100,normal,4,3
158,223,3,300,even_discrete,1,3
159,465,2,100,uniform,4,3
160,571,1,300,lognormal,4,3
1,229,2,50,normal,0.5,3
2,492,2,300,even_discrete,4,3
3,218,3,100,lognormal,0.5,1
4,205,1,100,even_discrete,4,3
5,269,4,50,uniform,1,1
6,215,2,100,lognormal,4,1
7,115,3,300,lognormal,1,1
8,380,1,300,normal,1,2
9,87,2,300,lognormal,2,3
10,379,1,300,uniform,0.5,2
11,46,2,100,even_discrete,4,3
12,158,4,100,uniform,4,2
13,364,3,100,normal,1,3
14,325,2,100,normal,1,3
15,523,2,300,even_discrete,0.5,1
16,2,3,50,even_discrete,1,1
