a,b,c,x_dist,x_mu,x_n,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,effect_size,answer
0,20.143768876791,NA,neglognormal,0,18,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,28.411499194456862,6.76895050662988e-7,348.9003115052667,TRUE
0,26.206402592360973,NA,lognormal,0,16,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,51.32089864574674,7.174777803803693e-12,453.9082077357395,TRUE
-1,3.496545188128948,NA,neglognormal,0,12,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,4.706309887860612,0.09506875199396392,34.96545188128948,FALSE
0,10.557739794254303,NA,neglognormal,0,11,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,19.47293410469885,5.9088924586987966e-5,182.8654173674024,TRUE
1,8.10110554844141,NA,lognormal,0,15,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,1.9575829155255704,0.37576495236178475,57.283466684108866,FALSE
1,29.149260468780994,NA,discrete_uniform,0,14,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,21.68253296301564,1.9574820587717628e-5,291.49260468780994,TRUE
1,2.60886150598526,NA,discrete_uniform,0,19,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,6.261123952102572,0.04369323579980049,18.44743662058726,TRUE
-1,23.951208479702473,NA,normal,0,19,0.3,FALSE,NA,NA,NA,NA,NA,300,heter,39.23318759739793,3.024276950390159e-9,414.8470998951921,TRUE
0,16.817179903388023,NA,normal,0,19,0.3,FALSE,NA,NA,NA,NA,NA,300,heter,46.542716657255745,7.823074957244742e-11,291.28210032694324,TRUE
-1,17.845870934426785,NA,uniform,0,13,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,17.537820297429477,1.554929525312086e-4,126.1893635391309,TRUE
0,7.702970989048481,NA,uniform,0,12,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,30.09712427622123,2.914019830055124e-7,77.02970989048481,TRUE
0,10.726590931415558,NA,neglognormal,0,18,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,23.14080804149887,9.441421365617757e-6,185.79000485219314,TRUE
-1,21.991313762962818,NA,neglognormal,0,12,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,1.4182506032018827,0.4920744259860611,155.50207088992062,FALSE
-1,1.0568545758724213,NA,uniform,0,18,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,7.877459184036284,0.01947293761337013,7.473090373274217,FALSE
0,15.467840805649757,NA,lognormal,0,17,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,2.832339360778126,0.24264163423752472,109.37415123988934,FALSE
0,17.36459807306528,NA,lognormal,0,14,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,28.533805644693622,6.367410223595057e-7,300.76366115561694,TRUE
0,31.84526678174734,NA,normal,0,20,0.3,FALSE,NA,NA,NA,NA,NA,100,heter,21.338721846305717,2.3246384970660467e-5,318.4526678174734,TRUE
1,16.046710528433323,NA,discrete_uniform,0,11,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,11.672813920194521,0.0029193130124320456,113.4673783039277,TRUE
-1,21.189416654407978,NA,neglognormal,0,13,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,4.179401135973854,0.12372417725094262,211.89416654407978,FALSE
0,13.625991024076939,NA,normal,0,15,0.3,FALSE,NA,NA,NA,NA,NA,100,heter,52.37465603387699,4.236312082914416e-12,136.2599102407694,TRUE
